brier_score_delta,competition,fold,log_loss_delta,match_date,match_id,model_a,model_b,pair,ranked_probability_score_delta
-0.3646069185271752,FIFA World Cup,world_cup_2018,-0.4794516616487958,2018-06-16,international_results_csv-b3b504dc8f5a615011a8,poisson,elo,poisson_minus_elo,-0.21607086220525162
0.22482168665687777,FIFA World Cup,world_cup_2018,0.31182759797465776,2018-06-23,international_results_csv-b6bd59352f17b1237c95,poisson,elo,poisson_minus_elo,0.09274356209903975
0.036624881547474036,FIFA World Cup,world_cup_2022,0.049270819861470416,2022-11-26,international_results_csv-b6d4165dd6f52d3da850,poisson,elo,poisson_minus_elo,0.006775339841429917
0.2441652363799951,FIFA World Cup,world_cup_2018,0.335339075776956,2018-06-30,international_results_csv-b982aaf023e38ad7fc0b,poisson,elo,poisson_minus_elo,0.1096204141271987
0.1657443791852955,FIFA World Cup,world_cup_2018,0.3541942682235115,2018-06-19,international_results_csv-bae62f2d66dd7275cb0b,poisson,elo,poisson_minus_elo,0.07400305627387271
0.00441425841986226,Copa América,copa_america_2024,0.0026487665468235555,2024-06-28,international_results_csv-bc285e992f98e3abae2e,poisson,elo,poisson_minus_elo,-0.0015133064983789135
0.03980210653446711,FIFA World Cup,world_cup_2022,0.061184160177267966,2022-11-24,international_results_csv-bde63dc1d6dfa511872d,poisson,elo,poisson_minus_elo,0.009129362709695645
0.11499421891841177,FIFA World Cup,world_cup_2018,0.15688070678984717,2018-06-26,international_results_csv-c1799009628103a8554b,poisson,elo,poisson_minus_elo,0.04181548245943045
-0.3232192166835524,FIFA World Cup,world_cup_2018,-0.41140405903649757,2018-06-17,international_results_csv-c28b97b118f8bc501322,poisson,elo,poisson_minus_elo,-0.1764274733769682
0.05658238854961447,Copa América,copa_america_2024,0.12189638527443633,2024-06-27,international_results_csv-c2aa1d09d239a0d7b57c,poisson,elo,poisson_minus_elo,0.019787984044419095
-0.30658012808515256,FIFA World Cup,world_cup_2018,-0.46020814948532096,2018-06-27,international_results_csv-c39087354641bba83f4b,poisson,elo,poisson_minus_elo,-0.07225348214328048
0.16918953957340355,FIFA World Cup,world_cup_2022,0.29673883074919116,2022-11-30,international_results_csv-c40011fdeae18f4c1407,poisson,elo,poisson_minus_elo,0.07089749972695147
0.05414667386309637,Copa América,copa_america_2024,0.11434246496207678,2024-06-23,international_results_csv-c49039c4fa2756d70931,poisson,elo,poisson_minus_elo,0.020469206388463015
-0.3154920377805561,FIFA World Cup,world_cup_2022,-0.42028624426080774,2022-11-25,international_results_csv-c8b1e1a89845dc945a1a,poisson,elo,poisson_minus_elo,-0.16707047267880315
-0.027970088103781654,FIFA World Cup,world_cup_2018,-0.026309753895251253,2018-07-10,international_results_csv-c9a36471e1e33828b6ae,poisson,elo,poisson_minus_elo,-0.021575774572535816
0.1282001374622706,UEFA Euro,euro_2024,0.18227161611657766,2024-06-16,international_results_csv-cb152b0aac6751a183de,poisson,elo,poisson_minus_elo,0.052283266891735486
-0.037394067455236546,Copa América,copa_america_2024,-0.08956618802677685,2024-07-02,international_results_csv-cb32c51c5cbd5650cdb4,poisson,elo,poisson_minus_elo,-0.0016866452894573336
-0.36743710795852513,FIFA World Cup,world_cup_2022,-0.5036104879513466,2022-11-28,international_results_csv-ce2db3329e96906526b5,poisson,elo,poisson_minus_elo,-0.2154295402617447
0.2378966155083625,UEFA Euro,euro_2024,0.31783086629548174,2024-07-01,international_results_csv-d007886c9cd08939c43c,poisson,elo,poisson_minus_elo,0.10780134601974758
-0.14013025035181115,UEFA Euro,euro_2024,-0.11271590351602234,2024-06-23,international_results_csv-d0c7eb3a9724a7bafc90,poisson,elo,poisson_minus_elo,-0.05276158767606354
0.02489440342029181,FIFA World Cup,world_cup_2022,0.0350268094996114,2022-12-03,international_results_csv-d15c85d894a88d116e61,poisson,elo,poisson_minus_elo,0.004000147310259314
0.27558989383475385,FIFA World Cup,world_cup_2018,0.5265669404782845,2018-07-06,international_results_csv-d18a68e830f98cdd94ca,poisson,elo,poisson_minus_elo,0.13601348594532248
0.11100976389007078,FIFA World Cup,world_cup_2022,0.15324112522786015,2022-12-03,international_results_csv-d3542a07b8d05cecfa66,poisson,elo,poisson_minus_elo,0.04074031565366776
-0.10559205868536714,FIFA World Cup,world_cup_2018,-0.22736388203409752,2018-06-21,international_results_csv-d3e4d3cd69e66fc203fe,poisson,elo,poisson_minus_elo,-0.010830718602741596
-0.06944151967712808,Copa América,copa_america_2024,-0.12906259589475821,2024-06-30,international_results_csv-d41f137a93d1d79dc3d6,poisson,elo,poisson_minus_elo,-0.009953169984615096
0.11827633986680414,FIFA World Cup,world_cup_2018,0.1610597104459247,2018-06-21,international_results_csv-d56866c78600bab449b9,poisson,elo,poisson_minus_elo,0.0405198141295916
