accuracy,brier_score,calibration_error,competition_weight_profile,fold,home_advantage,inactivity_regression,k_base,log_loss,margin_of_victory,matches,method,ranked_probability_score
0.5666666666666667,0.5815418870504402,0.08551425418923542,default,world_cup_2018,75.0,off,15.0,0.9733820516165731,off,60,elo_simple,0.22399498673833868
0.4745762711864407,0.6102946036178541,0.10547682976952842,default,world_cup_2022,75.0,off,15.0,1.0369924733240818,off,59,elo_simple,0.23318106527125174
0.5208333333333334,0.6055860490369388,0.10085674927366399,default,euro_2024,75.0,off,15.0,1.0191148852477645,off,48,elo_simple,0.1972717335794447
0.6785714285714286,0.46631813448753334,0.12510836069173406,default,copa_america_2024,75.0,off,15.0,0.8200174505244149,off,28,elo_simple,0.15874366413686053
0.5166666666666667,0.5845494444381494,0.09938814778377776,default,world_cup_2018,75.0,off,15.0,0.9771999685648118,off,60,ordinal_logistic,0.2260297749474701
0.5084745762711864,0.6118923110686202,0.07937811377335287,default,world_cup_2022,75.0,off,15.0,1.0299776510235734,off,59,ordinal_logistic,0.23690693167806576
0.5,0.6165237478889758,0.1461295242268482,default,euro_2024,75.0,off,15.0,1.036025628279949,off,48,ordinal_logistic,0.20097563076211192
0.6785714285714286,0.43231734835847535,0.11336965696809244,default,copa_america_2024,75.0,off,15.0,0.7644641562274934,off,28,ordinal_logistic,0.14850407392198997
0.5666666666666667,0.5839410987454997,0.09503435314033419,default,world_cup_2018,75.0,off,15.0,0.9760841787572239,off,60,multinomial_logistic,0.22595982288166852
0.4745762711864407,0.6143122717369082,0.08196308057548528,default,world_cup_2022,75.0,off,15.0,1.0471393438055474,off,59,multinomial_logistic,0.23764435658356123
0.5,0.6151482016430933,0.13701589697646063,default,euro_2024,75.0,off,15.0,1.0365170084607433,off,48,multinomial_logistic,0.20070802785661876
0.6785714285714286,0.4345890459506449,0.14046845986056494,default,copa_america_2024,75.0,off,15.0,0.7688070529194597,off,28,multinomial_logistic,0.14834751647381883
0.5666666666666667,0.5820216280137122,0.08555020996780723,default,world_cup_2018,75.0,two_years_10pct,15.0,0.9740421888522545,off,60,elo_simple,0.2242348572199747
0.4745762711864407,0.6107291587251665,0.09534025395455938,default,world_cup_2022,75.0,two_years_10pct,15.0,1.0372886214180872,off,59,elo_simple,0.23339834282490785
0.5208333333333334,0.6055822929151006,0.10081393590632752,default,euro_2024,75.0,two_years_10pct,15.0,1.0191136015637907,off,48,elo_simple,0.19726985551852558
0.6785714285714286,0.4669471386857643,0.11763251880674837,default,copa_america_2024,75.0,two_years_10pct,15.0,0.8209044109926931,off,28,elo_simple,0.15905816623597602
0.5166666666666667,0.5857771426687078,0.095163015605694,default,world_cup_2018,75.0,two_years_10pct,15.0,0.9791517793672072,off,60,ordinal_logistic,0.2264993455591086
0.5084745762711864,0.6124747176012694,0.06936190205656213,default,world_cup_2022,75.0,two_years_10pct,15.0,1.0311790169221378,off,59,ordinal_logistic,0.23714319900572403
0.5,0.616704792464576,0.1462078732522169,default,euro_2024,75.0,two_years_10pct,15.0,1.0363689091696537,off,48,ordinal_logistic,0.20104773005533985
0.6785714285714286,0.4329667854374506,0.11304943242701777,default,copa_america_2024,75.0,two_years_10pct,15.0,0.7652394814536317,off,28,ordinal_logistic,0.14882097839785619
0.5666666666666667,0.5846157458885338,0.0934449215110633,default,world_cup_2018,75.0,two_years_10pct,15.0,0.9770394877030325,off,60,multinomial_logistic,0.2262840170387368
0.4745762711864407,0.614840851956829,0.08784382737330249,default,world_cup_2022,75.0,two_years_10pct,15.0,1.0475462223821863,off,59,multinomial_logistic,0.2378838933854488
0.5,0.6154202856990963,0.1266743173450838,default,euro_2024,75.0,two_years_10pct,15.0,1.037031558808491,off,48,multinomial_logistic,0.2008045718028472
0.6785714285714286,0.43529178526365786,0.13058588897565176,default,copa_america_2024,75.0,two_years_10pct,15.0,0.7697546234437104,off,28,multinomial_logistic,0.14867722955911317
0.5833333333333334,0.5759672830513834,0.10306783865577429,default,world_cup_2018,75.0,off,15.0,0.9662163921101806,modest,60,elo_simple,0.22120768473881025
0.5084745762711864,0.6111130218662713,0.061249178420691074,default,world_cup_2022,75.0,off,15.0,1.042446401055715,modest,59,elo_simple,0.23359027439546023
0.5208333333333334,0.6034719778419587,0.09964661328005193,default,euro_2024,75.0,off,15.0,1.0166592127131022,modest,48,elo_simple,0.19621469798195465
0.6785714285714286,0.4609761938438345,0.12458566427647415,default,copa_america_2024,75.0,off,15.0,0.8110328005012208,modest,28,elo_simple,0.15607269381501104
0.5666666666666667,0.5783613924005894,0.09394005407366345,default,world_cup_2018,75.0,off,15.0,0.968538398014254,modest,60,ordinal_logistic,0.22312416116071443
0.5084745762711864,0.6134029499203648,0.06930569060506135,default,world_cup_2022,75.0,off,15.0,1.0315984140587842,modest,59,ordinal_logistic,0.23761192123013913
0.5,0.6142296322657136,0.1332290943220747,default,euro_2024,75.0,off,15.0,1.0313822523791611,modest,48,ordinal_logistic,0.20004464797286967
0.6785714285714286,0.43338941826800903,0.10653781295955644,default,copa_america_2024,75.0,off,15.0,0.7670617873297471,modest,28,ordinal_logistic,0.14860211363410109
0.5666666666666667,0.5775142017685351,0.0980910604719137,default,world_cup_2018,75.0,off,15.0,0.9671460375966549,modest,60,multinomial_logistic,0.22291046630708636
0.5084745762711864,0.6163059180116394,0.08248275737377203,default,world_cup_2022,75.0,off,15.0,1.0486895933350224,modest,59,multinomial_logistic,0.23856985267402214
0.5,0.6130273438242257,0.11921994783945046,default,euro_2024,75.0,off,15.0,1.0320887506979461,modest,48,multinomial_logistic,0.1998285008601707
0.6785714285714286,0.4351868093956853,0.1160054533964399,default,copa_america_2024,75.0,off,15.0,0.770148796545581,modest,28,multinomial_logistic,0.14825853774116365
0.5833333333333334,0.576533905272307,0.10322243640820387,default,world_cup_2018,75.0,two_years_10pct,15.0,0.9669907231829118,modest,60,elo_simple,0.221490995849272
0.5084745762711864,0.6117205244532377,0.06126237363340412,default,world_cup_2022,75.0,two_years_10pct,15.0,1.042884346611601,modest,59,elo_simple,0.2338940256889435
0.5208333333333334,0.6034559348598041,0.10023288438141642,default,euro_2024,75.0,two_years_10pct,15.0,1.0166337026043082,modest,48,elo_simple,0.19620667649087734
0.6785714285714286,0.46171931658874715,0.12464479536882518,default,copa_america_2024,75.0,two_years_10pct,15.0,0.8121101657632134,modest,28,elo_simple,0.15644425518746743
0.5666666666666667,0.578095215740032,0.0931400877360858,default,world_cup_2018,75.0,two_years_10pct,15.0,0.9679283314846506,modest,60,ordinal_logistic,0.2231312021490037
0.5084745762711864,0.6142247537946076,0.06767995662130133,default,world_cup_2022,75.0,two_years_10pct,15.0,1.0326566823453995,modest,59,ordinal_logistic,0.23797778153650867
0.5,0.6146141912088631,0.12871041707785955,default,euro_2024,75.0,two_years_10pct,15.0,1.0321030618399167,modest,48,ordinal_logistic,0.20015002814982266
0.6785714285714286,0.4340583057224519,0.10652131185087053,default,copa_america_2024,75.0,two_years_10pct,15.0,0.7678785587441469,modest,28,ordinal_logistic,0.14891801702891858
0.5666666666666667,0.5782102996803735,0.09705795755959438,default,world_cup_2018,75.0,two_years_10pct,15.0,0.9681157380148893,modest,60,multinomial_logistic,0.223252572818779
0.4915254237288136,0.6170841171795606,0.08700611936249913,default,world_cup_2022,75.0,two_years_10pct,15.0,1.0495824032492875,modest,59,multinomial_logistic,0.23893050367215368
0.5,0.6133727422207053,0.1211054426993255,default,euro_2024,75.0,two_years_10pct,15.0,1.0327676563533499,modest,48,multinomial_logistic,0.19993345691684758
0.6785714285714286,0.43598895615126904,0.12302242979368067,default,copa_america_2024,75.0,two_years_10pct,15.0,0.7712512226083676,modest,28,multinomial_logistic,0.14863431675049021
0.5666666666666667,0.5807859947341719,0.10340433952122718,compressed,world_cup_2018,75.0,off,15.0,0.970667023819511,off,60,elo_simple,0.2236170405802045
0.5423728813559322,0.5932175476671572,0.0894344980760644,compressed,world_cup_2022,75.0,off,15.0,1.0076180035344744,off,59,elo_simple,0.2246425372959032
