ablation_a,brier_score_delta,competition,fold,log_loss_delta,match_date,match_id,model_a,model_b,pair,ranked_probability_score_delta
contextual_logistic,-0.1225998972,FIFA World Cup,world_cup_2018,-0.1897012801,2018-06-30,international_results_csv-b982aaf023e38ad7fc0b,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0455590889
contextual_logistic,-0.0995966476,FIFA World Cup,world_cup_2018,-0.1898537937,2018-06-19,international_results_csv-bae62f2d66dd7275cb0b,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0507204293
contextual_logistic,0.0032603739,Copa América,copa_america_2024,0.0102310984,2024-06-28,international_results_csv-bc285e992f98e3abae2e,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0037714560
contextual_logistic,-0.0291010882,FIFA World Cup,world_cup_2022,-0.0466671367,2022-11-24,international_results_csv-bde63dc1d6dfa511872d,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0089937399
contextual_logistic,-0.0486950384,FIFA World Cup,world_cup_2018,-0.0656701542,2018-06-26,international_results_csv-c1799009628103a8554b,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0137906249
contextual_logistic,0.1177508555,FIFA World Cup,world_cup_2018,0.1414172799,2018-06-17,international_results_csv-c28b97b118f8bc501322,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0712753444
contextual_logistic,-0.0062143197,Copa América,copa_america_2024,-0.0103183144,2024-06-27,international_results_csv-c2aa1d09d239a0d7b57c,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0016916933
contextual_logistic,0.3355555593,FIFA World Cup,world_cup_2018,0.5335714208,2018-06-27,international_results_csv-c39087354641bba83f4b,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0761733479
contextual_logistic,-0.0860737285,FIFA World Cup,world_cup_2022,-0.1712652712,2022-11-30,international_results_csv-c40011fdeae18f4c1407,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0318788541
contextual_logistic,0.0198317029,Copa América,copa_america_2024,0.0324176248,2024-06-23,international_results_csv-c49039c4fa2756d70931,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0061819003
contextual_logistic,0.1275599781,FIFA World Cup,world_cup_2022,0.1784066136,2022-11-25,international_results_csv-c8b1e1a89845dc945a1a,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0606966106
contextual_logistic,-0.0549288903,FIFA World Cup,world_cup_2018,-0.1055071244,2018-07-10,international_results_csv-c9a36471e1e33828b6ae,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0076317340
contextual_logistic,-0.0525998364,UEFA Euro,euro_2024,-0.0737419165,2024-06-16,international_results_csv-cb152b0aac6751a183de,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0245683908
contextual_logistic,0.0503353701,Copa América,copa_america_2024,0.1131428275,2024-07-02,international_results_csv-cb32c51c5cbd5650cdb4,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0038462464
contextual_logistic,0.1964544796,FIFA World Cup,world_cup_2022,0.3038617826,2022-11-28,international_results_csv-ce2db3329e96906526b5,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.1147746007
contextual_logistic,-0.1524584572,UEFA Euro,euro_2024,-0.2063643029,2024-07-01,international_results_csv-d007886c9cd08939c43c,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0653105330
contextual_logistic,-0.0026207009,UEFA Euro,euro_2024,-0.0854578479,2024-06-23,international_results_csv-d0c7eb3a9724a7bafc90,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0128214275
contextual_logistic,-0.0563352647,FIFA World Cup,world_cup_2022,-0.0913127412,2022-12-03,international_results_csv-d15c85d894a88d116e61,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0175687768
contextual_logistic,-0.0125582584,FIFA World Cup,world_cup_2018,-0.1988133811,2018-07-06,international_results_csv-d18a68e830f98cdd94ca,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0075879848
contextual_logistic,-0.1251278367,FIFA World Cup,world_cup_2022,-0.1761519601,2022-12-03,international_results_csv-d3542a07b8d05cecfa66,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0438034887
contextual_logistic,0.0911434597,FIFA World Cup,world_cup_2018,0.1486083349,2018-06-21,international_results_csv-d3e4d3cd69e66fc203fe,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0174134682
contextual_logistic,0.0917903564,Copa América,copa_america_2024,0.1641477549,2024-06-30,international_results_csv-d41f137a93d1d79dc3d6,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0147541026
contextual_logistic,-0.0663587438,FIFA World Cup,world_cup_2018,-0.0897764676,2018-06-21,international_results_csv-d56866c78600bab449b9,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0219384802
contextual_logistic,0.0714631656,FIFA World Cup,world_cup_2018,0.0895149647,2018-06-22,international_results_csv-d760b014c52ff0a5ade0,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0416941437
contextual_logistic,-0.0247243685,Copa América,copa_america_2024,-0.0369604995,2024-06-28,international_results_csv-d79bcd0cfb786e1ca100,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0065743662
contextual_logistic,-0.0940515651,FIFA World Cup,world_cup_2018,-0.1255676683,2018-06-19,international_results_csv-d7d629d2c690a370b173,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0412692456
contextual_logistic,0.0215503243,UEFA Euro,euro_2024,0.0312564400,2024-07-06,international_results_csv-d8828b9f2335866424b4,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,0.0088898050
contextual_logistic,-0.0129717215,UEFA Euro,euro_2024,-0.0203387814,2024-06-19,international_results_csv-da8d7c1cede850151b72,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0025644188
contextual_logistic,-0.0071348469,UEFA Euro,euro_2024,-0.0162303944,2024-06-19,international_results_csv-df474f82905353106a15,contextual_logit_v1,poisson_goal_v1,contextual_logit_v1::contextual_logistic_minus_poisson_goal_v1::poisson_official,-0.0095086311
