canonical_team_id,source,source_name,valid_from,valid_to,notes
martinique,international_results_csv,Martinique,,,Exact observed source name from martj42/international_results.
matabeleland,international_results_csv,Matabeleland,,,Exact observed source name from martj42/international_results.
maule_sur,international_results_csv,Maule Sur,,,Exact observed source name from martj42/international_results.
mauritania,international_results_csv,Mauritania,,,Exact observed source name from martj42/international_results.
mauritius,international_results_csv,Mauritius,,,Exact observed source name from martj42/international_results.
mayotte,international_results_csv,Mayotte,,,Exact observed source name from martj42/international_results.
menorca,international_results_csv,Menorca,,,Exact observed source name from martj42/international_results.
mexico,international_results_csv,Mexico,,,Exact observed source name from martj42/international_results.
micronesia,international_results_csv,Micronesia,,,Exact observed source name from martj42/international_results.
moldova,international_results_csv,Moldova,,,Exact observed source name from martj42/international_results.
monaco,international_results_csv,Monaco,,,Exact observed source name from martj42/international_results.
mongolia,international_results_csv,Mongolia,,,Exact observed source name from martj42/international_results.
montenegro,international_results_csv,Montenegro,,,Exact observed source name from martj42/international_results.
montserrat,international_results_csv,Montserrat,,,Exact observed source name from martj42/international_results.
morocco,international_results_csv,Morocco,,,Exact observed source name from martj42/international_results.
mozambique,international_results_csv,Mozambique,,,Exact observed source name from martj42/international_results.
myanmar,international_results_csv,Myanmar,,,Exact observed source name from martj42/international_results.
namibia,international_results_csv,Namibia,,,Exact observed source name from martj42/international_results.
nepal,international_results_csv,Nepal,,,Exact observed source name from martj42/international_results.
netherlands,international_results_csv,Netherlands,,,Exact observed source name from martj42/international_results.
new_caledonia,international_results_csv,New Caledonia,,,Exact observed source name from martj42/international_results.
new_zealand,international_results_csv,New Zealand,,,Exact observed source name from martj42/international_results.
nicaragua,international_results_csv,Nicaragua,,,Exact observed source name from martj42/international_results.
niger,international_results_csv,Niger,,,Exact observed source name from martj42/international_results.
nigeria,international_results_csv,Nigeria,,,Exact observed source name from martj42/international_results.
niue,international_results_csv,Niue,,,Exact observed source name from martj42/international_results.
north_korea,international_results_csv,North Korea,,,Exact observed source name from martj42/international_results.
north_macedonia,international_results_csv,North Macedonia,,,Exact observed source name from martj42/international_results.
north_vietnam,international_results_csv,North Vietnam,,,Exact observed source name from martj42/international_results.
northern_cyprus,international_results_csv,Northern Cyprus,,,Exact observed source name from martj42/international_results.
northern_ireland,international_results_csv,Northern Ireland,,,Exact observed source name from martj42/international_results.
northern_mariana_islands,international_results_csv,Northern Mariana Islands,,,Exact observed source name from martj42/international_results.
norway,international_results_csv,Norway,,,Exact observed source name from martj42/international_results.
occitania,international_results_csv,Occitania,,,Exact observed source name from martj42/international_results.
oman,international_results_csv,Oman,,,Exact observed source name from martj42/international_results.
orkney,international_results_csv,Orkney,,,Exact observed source name from martj42/international_results.
padania,international_results_csv,Padania,,,Exact observed source name from martj42/international_results.
pakistan,international_results_csv,Pakistan,,,Exact observed source name from martj42/international_results.
palau,international_results_csv,Palau,,,Exact observed source name from martj42/international_results.
palestine,international_results_csv,Palestine,,,Exact observed source name from martj42/international_results.
panama,international_results_csv,Panama,,,Exact observed source name from martj42/international_results.
panjab,international_results_csv,Panjab,,,Exact observed source name from martj42/international_results.
papua_new_guinea,international_results_csv,Papua New Guinea,,,Exact observed source name from martj42/international_results.
paraguay,international_results_csv,Paraguay,,,Exact observed source name from martj42/international_results.
parishes_of_jersey,international_results_csv,Parishes of Jersey,,,Exact observed source name from martj42/international_results.
peru,international_results_csv,Peru,,,Exact observed source name from martj42/international_results.
philippines,international_results_csv,Philippines,,,Exact observed source name from martj42/international_results.
poland,international_results_csv,Poland,,,Exact observed source name from martj42/international_results.
portugal,international_results_csv,Portugal,,,Exact observed source name from martj42/international_results.
provence,international_results_csv,Provence,,,Exact observed source name from martj42/international_results.
puerto_rico,international_results_csv,Puerto Rico,,,Exact observed source name from martj42/international_results.
qatar,international_results_csv,Qatar,,,Exact observed source name from martj42/international_results.
quebec,international_results_csv,Quebec,,,Exact observed source name from martj42/international_results.
raetia,international_results_csv,Raetia,,,Exact observed source name from martj42/international_results.
republic_of_ireland,international_results_csv,Republic of Ireland,,,Exact observed source name from martj42/international_results.
republic_of_st_pauli,international_results_csv,Republic of St. Pauli,,,Exact observed source name from martj42/international_results.
rhodes,international_results_csv,Rhodes,,,Exact observed source name from martj42/international_results.
romani_people,international_results_csv,Romani people,,,Exact observed source name from martj42/international_results.
romania,international_results_csv,Romania,,,Exact observed source name from martj42/international_results.
russia,international_results_csv,Russia,,,Exact observed source name from martj42/international_results.
rwanda,international_results_csv,Rwanda,,,Exact observed source name from martj42/international_results.
ryukyu,international_results_csv,Ryūkyū,,,Exact observed source name from martj42/international_results.
reunion,international_results_csv,Réunion,,,Exact observed source name from martj42/international_results.
saare_county,international_results_csv,Saare County,,,Exact observed source name from martj42/international_results.
saarland,international_results_csv,Saarland,,,Exact observed source name from martj42/international_results.
saint_barthelemy,international_results_csv,Saint Barthélemy,,,Exact observed source name from martj42/international_results.
saint_helena,international_results_csv,Saint Helena,,,Exact observed source name from martj42/international_results.
saint_kitts_and_nevis,international_results_csv,Saint Kitts and Nevis,,,Exact observed source name from martj42/international_results.
saint_lucia,international_results_csv,Saint Lucia,,,Exact observed source name from martj42/international_results.
saint_martin,international_results_csv,Saint Martin,,,Exact observed source name from martj42/international_results.
saint_pierre_and_miquelon,international_results_csv,Saint Pierre and Miquelon,,,Exact observed source name from martj42/international_results.
saint_vincent_and_the_grenadines,international_results_csv,Saint Vincent and the Grenadines,,,Exact observed source name from martj42/international_results.
samoa,international_results_csv,Samoa,,,Exact observed source name from martj42/international_results.
san_marino,international_results_csv,San Marino,,,Exact observed source name from martj42/international_results.
sark,international_results_csv,Sark,,,Exact observed source name from martj42/international_results.
saudi_arabia,international_results_csv,Saudi Arabia,,,Exact observed source name from martj42/international_results.
saugeais,international_results_csv,Saugeais,,,Exact observed source name from martj42/international_results.
scotland,international_results_csv,Scotland,,,Exact observed source name from martj42/international_results.
